,nombre_candidato,partido_coalicion,propuestas_general
10,ANA KARINA ROJO PIMENTEL,JUNTOS HACEMOS HISTORIA,"UN SISTEMA DE SALUD ADECUADO.  ACCESO  UNIVERSAL  A LA EDUCACIÓN.
ACCESO  UNIVERSAL  A LA EDUCACIÓN.Como un partido progresista, incluyente y plural, garantizaremos la protección, promoción y materialización de los derechos a la diversidad sexual e identidad de género, grupos vulnerables y minorías (Afroamericanos, indígenas o discapacidad)
Todos somos México Jóvenes, mujeres, adultos mayores, los pueblos y las comunidades indígenas, y personas con discapacidad. Buscamos materializar sus derechos con acciones, programas y recursos públicos. 
La materialización de los derechos a los grupos minoritarios con acceso a servicios públicos de salud gratuitos y de calidad sin discriminación ni prejuicios; al reconocimiento pleno de las uniones de las personas del mismo sexo, político, de género o edad; a vivir en un ambiente de armonía y paz, sin poner en riesgo la vida o integridad física por su preferencia sexual o identidad de género, por edad o etnia; a la procuración de justicia pronta y expedita; y a eliminar todos los actos de discriminación o violencia hacia la comunidad LGBTTTIQ, pueblos originarios, adultos mayores o de género."
11,ANA LUISA VERA ANDRADE,PARTIDO ENCUENTRO SOLIDARIO,"Igualdad de oportunidad para la mujer en todos los ámbitos.Brindar una oportunidad a los niños sin hogar, de estudiar y prepararse para salir adelante.Todos los derechos para todas las mujeres, ese es el lema que me mueve a favor de la igualdad entre hombres y mujeres."
12,ANA MARIA CASTELAN TORRES,PARTIDO DEL TRABAJO,
13,ANA MARIA REYES CISNEROS,VA POR MEXICO,"La sierra de santa Catarina en Iztapalapa es la más marginada con enormes rezagos en seguridad, educación, salud y trabajo, legislaré para que se tenga un mayor acento es estos ejes y poder rescatar la sierra.Buscar mayor seguridad para las mujeres. Que los jóvenes tengan mayor oportunidad tanto laboral como académicamente.Como represéntate de la mujer y jóvenes, pretendo legislar y buscar gestiones que nos ayuden a la igual de género y desarrollo cultural y académico de los jóvenes. Seguridad para todas las mujeres y niñas. Garantizar una vida libre de violencia, protección del acoso y acabar con los feminicidios. Búsqueda de becas en el extranjero que permitan mejorar las condiciones académicas de jóvenes, y como resultado su desarrollo laboral."
14,ANA MARIA RODRIGUEZ RUIZ,MORENA,"Una nueva reforma integral en pensiones y jubilaciones que sea justa y equitativa; agilizar los trámites burocráticos para pensionar a los trabajadores y acumularle todos sus años laborados; incrementar la UMA para aumentar los montos de las pensiones a los jubilados. Reducir los años laborados para los trabajadores del estado para su jubilación digna.Establecer la violencia familiar como delito grave que se sancione con prisión preventiva.Erradicar la violencia y sus patrones generalizada contra las mujeres, como el acoso, el abuso, violencia sexual, política así como los feminicidios. Implementar estrategias de combate a la corrupción en nivel estatal y municipal."
15,ANDREA GERALDINA AYALA AREVYAN,PARTIDO DEL TRABAJO,"Proyecto que garantice deshechos limpios de la industria con obligatoriedad,  así  como promover fabricación de biodegradablesProyecto de fortalecimiento en el desarrollo local y regional a través del autoempleo Promover reconocimiento e inclusión de género, indígenas, grupo afro, y migrantes"
16,ANDREA NATALIA IDALIAS OTERO,PARTIDO DEL TRABAJO,"1.-Fomento al empleo a través de empresas sociales, cooperativas o grupos solidarios dirigidas especialmente a cubrir las necesidades de las personas con discapacidad.2.- Que la reforma educativa contemple dentro de la formación docente el manejo obligatorio de las materias de lenguaje de señas y braille para contribuir a la NO discriminación."
17,ANTONIO ABIMAHEL BARRON PELCASTRE,PARTIDO ENCUENTRO SOLIDARIO,"Reducción del Impuesto al Valor Agregado (IVA) pasando del 16 al 10.Incentivar fiscalmente a las empresas que contraten personal joven en todos lo niveles, ofreciendo contratos dignos que aseguren el desarrollo personal y profesional de los contratados, ya que los ingresos por trabajo de la población de jóvenes se concentran entre uno y dos salarios mínimos.Mejorar lo protocolos para el tratamiento y seguimiento de feminicidios. "
18,ARACELI CARMEN SANCHEZ GUERRERO,MOVIMIENTO CIUDADANO,"Trabajo bien remunerado para mujeres y jóvenes. Legislar para conseguir mejores condiciones para que puedan lograr un mejor estatus de vida y tener una mejor distribución. Crear liderazgos en la juventud para que sea encabezado por ellos mismos, para explotar su potencial en la ciencia y deporte, dando una constante capacitación y proporcionar capital semilla (microcréditos).En el ámbito de mujeres, exigir que los organismos ya creados cumplan las medidas integrales para prevenir la violencia donde no se les obliguen a claudicar, y que realmente respeten su integridad, fomentando su participación dando talleres de capacitación, así como microcréditos.Desarrollar un programa de cursos de formación para mujeres, donde se pueda impulsar y promover el autoempleo  y empleabilidad."
19,ARACELI MARTINEZ CASTRO,PARTIDO ENCUENTRO SOLIDARIO,"Legislar en reformar el plan de estudios con obligatoriedad a todas las instituciones educativas.Desarrollar parámetros de accesibilidad para adelgazar la brecha de desigualdad.Impulsar la creación de corredores artesanales donde se promuevan las tradiciones , usos y costumbres de nuestro municipio"
20,BARDO VEJAR COLIN,MOVIMIENTO CIUDADANO,"Emprendimiento en nuevas formas de generar ingresos, legislaremos iniciativas de apoyo a los emprendedores con un conjunto de medidas de carácter fiscal y tributario que faciliten la puesta en marcha de nuevos negocios y proyectos. El objetivo es estimular la economía de nuestro país para disminuir los efectos de la crisis pandémica, impulsando el crecimiento empresarial y la contratación. Revisaremos la legislación actual sobre el surgimiento de nuevas empresas garantizándoles políticas, en crecimiento que este sector tiene en el país y en la zona metropolitana. Buscaremos que quien emprenda un negocio tenga probabilidades de conectarse con los tiempos que vivimos (conciencia ecológica, respeto a la diversidad, expansión educativa y democracia, entre otros). Al igual impulsaremos programas de educación empresarial fomentando la creación de PYMES con ideas de negocio que complementen con el aprovechamiento de nuevas tecnologías siempre en búsqueda de alternativas sustentables y respetuosas del medio ambiente.Energías renovables, Materia Ecológica; Ante el grave problema de la contaminación ambiental impulsaremos medidas que obliguen a los gobiernos municipales y a la zona metropolitana.Gestionar ley contra la discriminación a todo persona."
21,BEATRIZ ROJAS MARTINEZ,MORENA,"Continuar con el combate a la corrupción, fortaleciendo las leyes y la transparencia en las instituciones de gobierno.Seguiremos trabajando en leyes que garanticen la seguridad y pacificación del país.El Estado de Chiapas cuenta con una diversidad pluricultural en la que se asientan diversas etnias en las que los usos y costumbres de las localidades, no permiten la participación efectiva de las mujeres en la vida democrática de nuestro país, por lo que para efectos de buscar la paridad efectiva, se hace necesario incentivar la creación de programas que sensibilicen a los pueblos originarios sobre la relevancia de la participación de las mujeres en la toma de decisiones que atañen a la vida política y social de su localidad, sin dejar de lado aspectos que tiene que ver con el apoyo para el desarrollo laboral y profesional de las mujeres, como son las estancias infantiles y programas en materia de salud y de financiamiento para el emprendimiento de este sector."
22,BLANCA ADRIANA ARROYO CUEVAS,PARTIDO VERDE ECOLOGISTA DE MÉXICO,"INTERVENIR EN ESCUELAS DE EDUCACIÓN BÁSICA PARA LA CONCIENTIZACIÓN DE LA VIOLENCIA DE GÉNERO HACÍA NIÑAS, ADOLESCENTES Y MUJERES QUE HA IDO EN AUMENTO A CAUSA DEL  CRISIS SANITARIA POR COVID-19.Establecer una cuadrícula de evaluación de peligros durante una intervención del primer respondiente en el domicilio o la recepción de una víctima en un Ministerio Publico.FORMACIÓN PERMANENTE PARA LA POBLACIÓN PARA AVANZAR EN LOGRAR LA IGUALDAD ENTRE GÉNEROS."
23,CLAUDIA ALEJANDRA GARCIA GUILLEN,MOVIMIENTO CIUDADANO,"Mayor presupuesto para las sociedades cooperativas en los diferentes programas de gobierno de la Ciudad de México y en el resto del país.Incorporar a la ley de sociedades cooperativas el pago del IMSS de forma bipartita.Promover reformas legislativas para el reconocimiento y desarrollo de todas las comunidades indígenas del país, con perspectiva de género, destacando la exigibilidad de los Derechos Humanos al Estado Mexicano, promoviendo el respeto a la libre determinación, donde se asegure por los tres Poderes de la Unión, y por los tres órdenes de gobierno, el respeto y uso del Convenio 169 de la OIT, y de los Acuerdos de San Andrés Larrainzar."
24,CLAUDIA LOPEZ RAYON,JUNTOS HACEMOS HISTORIA,"Legislar para que la industria energética esté al servicio del pueblo de México y del desarrollo económico nacional. En donde las empresas privadas que participen en el sector no tengan subsidios del gobierno, ni ventajas especiales para competir.  Para ello es preciso poner en marcha la infraestructura con la que cuenta el gobierno en el sector.Vamos a seguir trabajando para hacer realidad una nueva ley para las sociedades cooperativas, con el objetivo de fortalecer e impulsar la economía social, como una opción importante para la creación de empleos y la promoción de la actividad económica; todo ello con una visión colaborativa y participativa.IMPULSAR EN HOMBRES Y MUJERES LOS SALARIOS LABORALES, QUE HAYA EQUIDAD DE GÉNERO, TRABAJAR CON AMPLITUD Y DE LA MANO CON LAS DIFERENTES OPCIONES QUE EXISTAN, ALCANZAR LA META DE GARANTIZAR A LAS MUJERES UNA VIDA CON AUTONOMÍA ECONÓMICA, CON LIBERTAD DE DECISIÓN Y SIN VIOLENCIA."
25,CLAUDIA YDE GUZMAN BAUTISTA,PARTIDO DEL TRABAJO,"Promover que la policía sea más cercana a las comunidades a las que sirve, con reuniones periódicas que permita una mejor comunicación y coordinación en los trabajos de seguridad.Promover una reforma a la Ley General de Bienestar Animal para que las autoridades tengas mejores posibilidades de hacerla cumplir y se apliquen las sanciones a quien no se sujete a ella.Igualdad par todas y todos."
26,CONCEPCION ESCANDON HIDALGO,PARTIDO ENCUENTRO SOLIDARIO,"Defender a la familia y a la clase trabajadora.Educación en todos los niveles.Las mujeres de las comunidades tienen derecho a un control natal responsable, así que hay que darles opciones seguras que no atenten en sus usos y costumbres."
27,CYNTHIA ILIANA LOPEZ CASTRO,VA POR MEXICO,"Establecer la obligación del Estado mexicano de garantizar y promover los derechos de los jóvenes, su desarrollo y asegurar su participación activa en el desarrollo de la Nación en los ámbitos social, económico, político y cultural.Definir una Política Nacional de Juventud, cuyo propósito será atender las necesidades de este sector poblacional, garantizando su voz en la toma de decisiones a nivel nacional, estatal y municipal, ya sea por la vía institucional o de las organizaciones civiles.Propuesta en materia de género o del grupo en situación de discriminación que representa."
28,DANIEL KIMM ARTEAGA GARCIA,PARTIDO ENCUENTRO SOLIDARIO,"Mejorar las condiciones de la comunidad artística.Apoyar y gestionar obras y proyectos para mejorar el problema de la movilidad en la zona metropolitana del norte de la ciudad.Crear programas encaminados al apoyo de nuestras mujeres indígenas, rurales y en general, que sin salir de sus regiones puedan desarrollarse profesionalmente en la creación de empresas de trabajo, tanto de textil, como de floricultura por citar un ejemplo."
29,DAVID DANIEL RAZO URIBE,PARTIDO ENCUENTRO SOLIDARIO,"Fomento al apoyo a las familias con escasos recursos.Mejorara la economía a nivel microeconómico.La implementación de cursos de formación específica para mujeres, así como espacios de encuentro y diálogo que facilite el intercambio de experiencia entre mujeres emprendedoras y empresarias. Módulos de atención a ciudadanos violentados, realizando el acompañamiento jurídico y psicológico respectivo a cada caso."
30,DIANA MARIA TERESA LARA CARREON,VA POR MEXICO,"Garantizarla universalidad en la prestación de los servicios de salud, para que todos los mexicanos, por el hecho de serlo, gocen de acceso pleno a la salud  en todos sus niveles.Garantizar y fomentar el empleo con iniciativas que estén a favor de la ciudadaníalegislar para que la equidad de género sea efectiva en favor de las mujeres."
31,DOMITILA REYES BARRIENTOS,REDES SOCIALES PROGRESISTAS,Reactivación económica.Legislar para la adecuada atención en la salud de niños y personas de la tercera edad.GESTIONAR PROGRAMAS DE AUTOEMPLEO PARA LAS MUJERES Y PUEDAN INCREMENTAR SU ECONOMÍA
32,EDGAR GALINDO MACEDO,REDES SOCIALES PROGRESISTAS,"Programas de beneficio social, atendiendo la escaches de agua principalmente e implementar programas de seguridad para reducir el índice delictivo.Buscar programas que permitan a la juventud convertirse en ciudadanos de bien, profesionistas y lograr sus metas.Escudriñar las leyes para que estas sean a favor de las victimas y no de los victimarios, como en muchas ocasiones sucede."
33,EDMUNDO FLAVIO BUSTAMANTE ABED,REDES SOCIALES PROGRESISTAS,"Educación integral digna y de calidad para nuestros hijos.Reactivación y apoyo al sector empresarial, que atiendan a las situaciones específicas que atraviesa nuestro país para proteger tanto a los dueños como a los trabajadores.Generar empleos mediante la apertura de fábricas textileras o de manufactura para madres solteras las cuales cuenten con guarderías  que cuiden de los hijos de las trabajadoras."
34,EDUARDO FABIAN AGUILAR SEDANO,FUERZA POR MÉXICO,Retirar IVA a las toallas femeninas y a los condones por ser de primera necesidad y para apoyar la economía familiar.Incrementar el doble de las penas a los que ejerzan violencia y/o agresión sexual en contra de los menores cuando se trata de personas que forman parte de su primer grupo de confianza.PROMOVER LA IGUALDAD ENTRE HOMBRES Y MUJERES PARA BENEFICIAR A LA SOCIEDAD EN GRAL. ELIMINACIÓN DE TODAS LAS FORMAS DE DISCRIMINACIÓN CONTRA LA MUJER.
35,EDUARDO GRECO GUTIERREZ MENDEZ,FUERZA POR MÉXICO,Unidos con la ciudadanía para generar una alianza social y obtener un resultado legítimo.Ser un candidato incluyente de diversidad de género y diferentes ideologías.Inclusión total a la equidad de género.
36,EFREN ENRIQUEZ SORIANO,PARTIDO DEL TRABAJO,"Impulsaré y respaldaré las reformas necesarias para la 4ta transformación.		 Legislaré a favor de los derechos de la mujer y la diversidad de género.	  Votaré a favor del incremento salarial directo al personal hospitalario del 100.Buscaré la reactivación económica de la zona rural y lacustre.		 Gestionaré alternativas para la ampliación de vías de comunicación.		 Fortaleceré el crecimiento y desarrollo de los jóvenes con las nuevas tecnologías.		 Comunicaré con transparencia mis acciones legislativas con recorridos permanentes en mi distrito.Como un partido progresista, incluyente y plural, garantizaremos la protección, promoción y materialización de los derechos a la diversidad sexual e identidad de género, grupos vulnerables y minorías (Afroamericanos, indígenas o discapacidad)
Todos somos México Jóvenes, mujeres, adultos mayores, los pueblos y las comunidades indígenas, y personas con discapacidad. Buscamos materializar sus derechos con acciones, programas y recursos públicos. 

La materialización de los derechos a los grupos minoritarios con acceso a servicios públicos de salud gratuitos y de calidad sin discriminación ni prejuicios; al reconocimiento pleno de las uniones de las personas del mismo sexo, político, de género o edad; a vivir en un ambiente de armonía y paz, sin poner en riesgo la vida o integridad física por su preferencia sexual o identidad de género, por edad o etnia; a la procuración de justicia pronta y expedita; y a eliminar todos los actos de discriminación o violencia hacia la comunidad LGBTTTIQ, pueblos originarios, adultos mayores o de género."
37,ELIAB MENDOZA GALLEGOS,PARTIDO ENCUENTRO SOLIDARIO,"Complementar una reforma laboral, por la precariedad del trabajo.Garantizar a los trabajadores la seguridad y prestaciones que marca la ley.Escudriñar las leyes para que estas sean en favor de las víctimas y no de los victimarios, que la justicia y la transparencia gobiernen el resultado de cada juicio, así como también brindar el apoyo y la seguridad a todas las víctimas, durante y después del proceso."
38,ELISEO MOYAO MORALES,FUERZA POR MÉXICO,"La creación de la Ley de Desempeño Hidrológico, acompañada por la propuesta de creación de un Fondo Ambiental.Reforma a la Ley Nacional de uso de la Fuerza para garantizar la  actuación de los Cuerpos Policiacos con perspectiva de género y crear una Ley de estímulos al personal ministerial, policial y pericial más destacado.PROMOCIÓN DE LA EDUCACIÓN DE GÉNERO, PROPONER METODOLOGÍAS Y MECANISMOS QUE PERMITAN CONOCER LA EQUIDAD, PARA CONSTRUIR UNA SOCIEDAD DONDE TANTO LAS MUJERES, NIÑOS, NIÑAS Y HOMBRES TENGAN EL MISMO VALOR, LA IGUALDAD DE DERECHOS, Y OPORTUNIDADES."
39,ELSA DANIELA ACOSTA GUTIERREZ,VA POR MEXICO,"Para mejorar nuestra Seguridad es importante elaborar iniciativas que se presenten en el congreso  y así llevarlos a cabo para el mejoramiento salarial donde este no afecte la economía de las familias, puntualizando el alza de la canasta básica cuando hay un aumento salarial. Con ello el mejoramiento de los pagos a servidores públicos para mejorar la atención a la ciudadanía, cuidando y vigilando el cumplimiento del deber para la obtención de resultados óptimos. Con la llegada de la pandemia poder generar acciones en pro del rescate del sector laboral dando como resultado la reactivación económica, el innovar las iniciativas de motivación al  turismo con el fin de crear y regresar empleos a quienes lo perdieron.Soy consciente y responsable del cambio climático y por ello mi compromiso con el medio  ambiente. Urge de manera contundente ya no permitir la destrucción de nuestra flora y fauna, pues son vitales para nuestra salud. Sé que hoy en día las cadenas de suministros de medicamentos han sido quitadas por querer ahorrar, ser capaces de poder reactivar el protocolo de las medicinas a quienes lo necesitan puesto que es un derecho y obligación. La salud debe y será ser un deber y derecho  para nuestra existencia así como nuestro lugar en donde vivimos.¿	Gestionar más recursos a los programas de asistencia social para apoyar poblaciones con rezago económico y marginadas como son adultos mayores, indígenas, personas con discapacidad, jóvenes, para zonas agrícolas, madres trabajadoras y padres solteros que se dedican al cuidado de sus hijos."
40,ELSA PATRIA JIMENEZ FLORES,MOVIMIENTO CIUDADANO,"Protección de derechos. Revisar los vacíos legales e impulsar la protección de los derechos de las personas en condición de vulnerabilidad y discriminación.Fortalecimiento institucional. Defender la división de poderes, la autonomía del Congreso, y que el presupuesto de la Nación tenga una reorientación para que genere certidumbre en el gasto público.Fortalecer el marco jurídico en materia de violencia de género."
41,EMILIO SERRANO JIMENEZ,FUERZA POR MÉXICO,"Fomento	de un comité	de seguridad	vecinal para	la recuperación de  espacios públicos en las colonias de Iztacalco.Regulación estricta del otorgamiento de usos de	suelo para la	 constitución	de polígonos que	permiten la construcción de grandes condominios, generando desbastó de	agua y tráfico vial para todos los residentes	de la Alcaldía.Gestionar más recursos a los programas de asistencia social para apoyar poblaciones con rezago económico y marginadas como son adultos mayores, indígenas, personas con discapacidad, jóvenes, para zonas agrícolas, madres trabajadoras y padres solteros que se dedican al cuidado de sus hijos."
42,ENRIQUE MEDRANO MORALES,PARTIDO VERDE ECOLOGISTA DE MÉXICO,"REDUCCIÓN DEL COBRO DE IMPUESTOS E IMPULSAR A LOS PEQUEÑOS NEGOCIOS GENERANDO UNA REACTIVACIÓN DEL LA ECONOMÍA LOCAL O DE BARRIO, Y SIMULTÁNEAMENTE FOMENTAR LA GENERACIÓN DE EMPLEOS.AGUA POTABLE PERMANENTE Y GRATUITA, ABASTECER A NUESTRO DISTRITO DE FORMA EFICIENTE, PERMANENTE Y GRATUITA DE AGUA POTABLE, BUSCANDO PERPETUAR LA SEGURIDAD HÍDRICA POR MEDIO DE RED HIDRÁULICA O CAMIONES TIPO PIPA.Trabajar la igualdad de género desde la escuela especialmente con niños y niñas de educación infantil primaria, ya que en mi experiencia ahí es donde se aprenden los valores y límites, niños sanos mentalmente adultos sanos."
43,ERIKA JANNET PINEDA MEDINA,MOVIMIENTO CIUDADANO,"Un marco de Derechos Humanos fundamentales, para mejorar la calidad de vida a los ciudadanos.Un marco jurídico para que sea castigada la violencia a mujeres, con los marcos legales correspondientes.La mujer en estos momentos tan complicados en el que se encuentra el país, juega un papel muy importante para las decisiones que deben tomar las autoridades en temas económicos, de género, salud, seguridad, jóvenes, niños y niñas, por lo que no  dudaré en apoyar a mi bancada en estos temas."
44,ERIKA VANESSA DEL CASTILLO IBARRA,MORENA,Ampliar la cobertura del Programa de Pensión para Personas con Discapacidad.Impulsar y respaldar la propuesta del Ejecutivo en materia de la industria eléctrica.
45,ESTHER URIBE SORIA,REDES SOCIALES PROGRESISTAS,"- Promoveré y trabajaré por la seguridad en nuestra alcaldía.- Promoveré legislación en pro del medio ambiente y protección animal.Escudriñar las leyes para que estas sean en favor de las víctimas y no de los victimarios, que la justicia y la transparencia gobiernen el resultado de cada juicio, así como también brindar el apoyo y la seguridad a todas las víctimas, durante y después del proceso."
46,EVA REYES GOMEZ,FUERZA POR MÉXICO,"Salarios dignos y justos acordes con las competencias y nivel de responsabilidad de todos los trabajadores.Impulsar todas aquellas iniciativas que permitan a las mujeres trabajadoras y ciudadanos en general ejercer con plenitud sus derechos.Más del 20 de los hogares del Distrito VII está al frente una mujer, uno de mi objetivos es integrarlas a la actividad económica remunerada, capacitarlas y brindarles los apoyos sociales para que esto sea posible."
47,FABIANA AVILA ALCOCER,REDES SOCIALES PROGRESISTAS,"Endurecer, más las leyes  que ya existen, en contra del acoso sexual, violación, discriminación, feminicidio.Impulsar mejores iniciativas a favor de la protección de niñas y niños.Promover reformas Constitucionales y a leyes secundarias para fortalecer el papel y representación de la mujer, de los jóvenes, adultos mayores y personas con capacidades diferentes, en condiciones de igualdad, así como para mejorar la economía, la salud, el empleo, el medio ambiente y el desarrollo regional con perspectiva de género, garantizando igualdad de oportunidades para mujeres y hombres en todos los ámbitos."
48,FELIPE CERVANTES VEGA,REDES SOCIALES PROGRESISTAS,Apoyo al comercio informal.Apoyo a las personas a través de una capacitación para que puedan emprender su propio negocio.Fortalecer el marco jurídico en materia de violencia de género.
49,FERNANDO AVILEZ TOSTADO,REDES SOCIALES PROGRESISTAS,"Garantizar el abasto de agua potable a todos los ciudadanos.Hacer valer el derecho a la salud de todas las personas.Generar oportunidades de desarrollo a los grupos más vulnerables (grupos étnicos, jóvenes, madres solteras, niños y niñas, y adultos mayores)."
